Characteristic,Condition Bin,Known Attendance,Did Attend,Did Not Attend,Did Attend Pct,Known Attendance For Characteristic,Did Attend Pct Characteristic,Char Att Diff,Known Attendance For Condition Bin,Did Attend Pct Condition Bin,Con Bin Att Diff,Char Con Bin
Economics,Not Peaceful,240,138,102,57.49999999999999,484,62.8099173553719,5.31,4204,64.34348239771646,6.84,Economics + Not Peaceful
Economics,Peaceful,240,162,78,67.5,484,62.8099173553719,-4.69,3957,73.38893100833965,5.89,Economics + Peaceful
Finance-U,Not Peaceful,110,64,46,58.18181818181818,252,70.63492063492063,12.45,4204,64.34348239771646,6.16,Finance-U + Not Peaceful
Finance-U,Peaceful,139,112,27,80.57553956834532,252,70.63492063492063,-9.94,3957,73.38893100833965,-7.19,Finance-U + Peaceful
Human Development & Family Sci,Not Peaceful,202,148,54,73.26732673267327,412,75.24271844660194,1.98,4204,64.34348239771646,-8.92,Human Development & Family Sci + Not Peaceful
Info Mgmt & Technology,Not Peaceful,106,55,51,51.886792452830186,188,60.1063829787234,8.22,4204,64.34348239771646,12.46,Info Mgmt & Technology + Not Peaceful
Psychology,Not Peaceful,302,168,134,55.62913907284768,545,59.816513761467895,4.19,4204,64.34348239771646,8.71,Psychology + Not Peaceful
Psychology,Peaceful,239,155,84,64.85355648535564,545,59.816513761467895,-5.04,3957,73.38893100833965,8.54,Psychology + Peaceful
Sport&Human Dynamic-Undeclared,Not Peaceful,225,183,42,81.33333333333333,409,78.97310513447434,-2.36,4204,64.34348239771646,-16.99,Sport&Human Dynamic-Undeclared + Not Peaceful
Arts and Sciences (Undeclared),Not Wind Without Precip,853,665,188,77.9601406799531,930,77.63440860215054,-0.33,7507,68.97562275209805,-8.98,Arts and Sciences (Undeclared) + Not Wind Without Precip
Biology,Not Wind Without Precip,171,98,73,57.30994152046783,192,56.770833333333336,-0.54,7507,68.97562275209805,11.67,Biology + Not Wind Without Precip
Comm & Rhetorical Studies,Not Wind Without Precip,847,635,212,74.97048406139315,933,75.13397642015005,0.16,7507,68.97562275209805,-5.99,Comm & Rhetorical Studies + Not Wind Without Precip
Economics,Not Wind Without Precip,446,280,166,62.78026905829597,484,62.8099173553719,0.03,7507,68.97562275209805,6.2,Economics + Not Wind Without Precip
Human Development & Family Sci,Not Wind Without Precip,374,280,94,74.8663101604278,412,75.24271844660194,0.38,7507,68.97562275209805,-5.89,Human Development & Family Sci + Not Wind Without Precip
Info Mgmt & Technology,Not Wind Without Precip,176,106,70,60.22727272727273,188,60.1063829787234,-0.12,7507,68.97562275209805,8.75,Info Mgmt & Technology + Not Wind Without Precip
Management (Undeclared),Not Wind Without Precip,140,76,64,54.285714285714285,152,54.60526315789473,0.32,7507,68.97562275209805,14.69,Management (Undeclared) + Not Wind Without Precip
Mechanical Engineering,Not Wind Without Precip,160,100,60,62.5,168,63.095238095238095,0.6,7507,68.97562275209805,6.48,Mechanical Engineering + Not Wind Without Precip
Psychology,Not Wind Without Precip,487,295,192,60.57494866529775,545,59.816513761467895,-0.76,7507,68.97562275209805,8.4,Psychology + Not Wind Without Precip
Selected Studies In Educ,Not Wind Without Precip,114,87,27,76.31578947368422,128,73.4375,-2.88,7507,68.97562275209805,-7.34,Selected Studies In Educ + Not Wind Without Precip
Sport&Human Dynamic-Undeclared,Not Wind Without Precip,377,295,82,78.24933687002653,409,78.97310513447434,0.72,7507,68.97562275209805,-9.27,Sport&Human Dynamic-Undeclared + Not Wind Without Precip
Arts and Sciences (Undeclared),Not Calm Air Without Precip,223,171,52,76.68161434977578,930,77.63440860215054,0.95,2290,64.71615720524018,-11.97,Arts and Sciences (Undeclared) + Not Calm Air Without Precip
Arts and Sciences (Undeclared),Calm Air Without Precip,693,540,153,77.92207792207793,930,77.63440860215054,-0.29,5871,70.29466871061149,-7.63,Arts and Sciences (Undeclared) + Calm Air Without Precip
Biology,Calm Air Without Precip,138,85,53,61.59420289855072,192,56.770833333333336,-4.82,5871,70.29466871061149,8.7,Biology + Calm Air Without Precip
Comm & Rhetorical Studies,Not Calm Air Without Precip,268,201,67,75,933,75.13397642015005,0.13,2290,64.71615720524018,-10.28,Comm & Rhetorical Studies + Not Calm Air Without Precip
Economics,Not Calm Air Without Precip,123,71,52,57.72357723577236,484,62.8099173553719,5.09,2290,64.71615720524018,6.99,Economics + Not Calm Air Without Precip
Economics,Calm Air Without Precip,357,229,128,64.14565826330532,484,62.8099173553719,-1.34,5871,70.29466871061149,6.15,Economics + Calm Air Without Precip
Human Development & Family Sci,Not Calm Air Without Precip,111,78,33,70.27027027027027,412,75.24271844660194,4.97,2290,64.71615720524018,-5.55,Human Development & Family Sci + Not Calm Air Without Precip
Human Development & Family Sci,Calm Air Without Precip,296,227,69,76.6891891891892,412,75.24271844660194,-1.45,5871,70.29466871061149,-6.39,Human Development & Family Sci + Calm Air Without Precip
Info Mgmt & Technology,Calm Air Without Precip,128,82,46,64.0625,188,60.1063829787234,-3.96,5871,70.29466871061149,6.23,Info Mgmt & Technology + Calm Air Without Precip
Management (Undeclared),Calm Air Without Precip,113,61,52,53.98230088495575,152,54.60526315789473,0.62,5871,70.29466871061149,16.31,Management (Undeclared) + Calm Air Without Precip
Mechanical Engineering,Calm Air Without Precip,120,75,45,62.5,168,63.095238095238095,0.6,5871,70.29466871061149,7.79,Mechanical Engineering + Calm Air Without Precip
Psychology,Not Calm Air Without Precip,165,93,72,56.36363636363636,545,59.816513761467895,3.45,2290,64.71615720524018,8.35,Psychology + Not Calm Air Without Precip
Psychology,Calm Air Without Precip,376,230,146,61.170212765957444,545,59.816513761467895,-1.35,5871,70.29466871061149,9.12,Psychology + Calm Air Without Precip
Sport&Human Dynamic-Undeclared,Not Calm Air Without Precip,121,100,21,82.64462809917356,409,78.97310513447434,-3.67,2290,64.71615720524018,-17.93,Sport&Human Dynamic-Undeclared + Not Calm Air Without Precip
Sport&Human Dynamic-Undeclared,Calm Air Without Precip,286,221,65,77.27272727272727,409,78.97310513447434,1.7,5871,70.29466871061149,-6.98,Sport&Human Dynamic-Undeclared + Calm Air Without Precip
Arts and Sciences (Undeclared),Not Wind With Precip,898,699,199,77.83964365256125,930,77.63440860215054,-0.21,7879,69.05698692727503,-8.78,Arts and Sciences (Undeclared) + Not Wind With Precip
Biology,Not Wind With Precip,184,107,77,58.152173913043484,192,56.770833333333336,-1.38,7879,69.05698692727503,10.9,Biology + Not Wind With Precip
Comm & Rhetorical Studies,Not Wind With Precip,889,666,223,74.9156355455568,933,75.13397642015005,0.22,7879,69.05698692727503,-5.86,Comm & Rhetorical Studies + Not Wind With Precip
Economics,Not Wind With Precip,466,292,174,62.66094420600859,484,62.8099173553719,0.15,7879,69.05698692727503,6.4,Economics + Not Wind With Precip
Human Development & Family Sci,Not Wind With Precip,395,300,95,75.9493670886076,412,75.24271844660194,-0.71,7879,69.05698692727503,-6.89,Human Development & Family Sci + Not Wind With Precip
Info Mgmt & Technology,Not Wind With Precip,173,104,69,60.115606936416185,188,60.1063829787234,-0.01,7879,69.05698692727503,8.94,Info Mgmt & Technology + Not Wind With Precip
Management (Undeclared),Not Wind With Precip,146,80,66,54.794520547945204,152,54.60526315789473,-0.19,7879,69.05698692727503,14.26,Management (Undeclared) + Not Wind With Precip
Mechanical Engineering,Not Wind With Precip,163,103,60,63.190184049079754,168,63.095238095238095,-0.09,7879,69.05698692727503,5.87,Mechanical Engineering + Not Wind With Precip
Psychology,Not Wind With Precip,515,310,205,60.19417475728155,545,59.816513761467895,-0.38,7879,69.05698692727503,8.86,Psychology + Not Wind With Precip
Sport&Human Dynamic-Undeclared,Not Wind With Precip,388,302,86,77.83505154639175,409,78.97310513447434,1.14,7879,69.05698692727503,-8.78,Sport&Human Dynamic-Undeclared + Not Wind With Precip
Arts and Sciences (Undeclared),Not Calm Air With Precip,774,598,176,77.2609819121447,930,77.63440860215054,0.37,6807,69.42852945497282,-7.83,Arts and Sciences (Undeclared) + Not Calm Air With Precip
Arts and Sciences (Undeclared),Calm Air With Precip,142,113,29,79.5774647887324,930,77.63440860215054,-1.94,1354,65.21418020679468,-14.36,Arts and Sciences (Undeclared) + Calm Air With Precip
Biology,Not Calm Air With Precip,161,96,65,59.62732919254658,192,56.770833333333336,-2.86,6807,69.42852945497282,9.8,Biology + Not Calm Air With Precip
Comm & Rhetorical Studies,Not Calm Air With Precip,780,586,194,75.12820512820512,933,75.13397642015005,0.01,6807,69.42852945497282,-5.7,Comm & Rhetorical Studies + Not Calm Air With Precip
Comm & Rhetorical Studies,Calm Air With Precip,148,110,38,74.32432432432432,933,75.13397642015005,0.81,1354,65.21418020679468,-9.11,Comm & Rhetorical Studies + Calm Air With Precip
Economics,Not Calm Air With Precip,405,257,148,63.456790123456784,484,62.8099173553719,-0.65,6807,69.42852945497282,5.97,Economics + Not Calm Air With Precip
Health and Exercise Science,Calm Air With Precip,114,69,45,60.526315789473685,634,68.13880126182966,7.61,1354,65.21418020679468,4.69,Health and Exercise Science + Calm Air With Precip
Human Development & Family Sci,Not Calm Air With Precip,341,257,84,75.366568914956,412,75.24271844660194,-0.12,6807,69.42852945497282,-5.94,Human Development & Family Sci + Not Calm Air With Precip
Info Mgmt & Technology,Not Calm Air With Precip,151,94,57,62.251655629139066,188,60.1063829787234,-2.15,6807,69.42852945497282,7.18,Info Mgmt & Technology + Not Calm Air With Precip
Management (Undeclared),Not Calm Air With Precip,131,71,60,54.19847328244275,152,54.60526315789473,0.41,6807,69.42852945497282,15.23,Management (Undeclared) + Not Calm Air With Precip
Mechanical Engineering,Not Calm Air With Precip,129,80,49,62.01550387596899,168,63.095238095238095,1.08,6807,69.42852945497282,7.41,Mechanical Engineering + Not Calm Air With Precip
Psychology,Not Calm Air With Precip,456,271,185,59.42982456140351,545,59.816513761467895,0.39,6807,69.42852945497282,10,Psychology + Not Calm Air With Precip
Sport&Human Dynamic-Undeclared,Not Calm Air With Precip,335,266,69,79.40298507462687,409,78.97310513447434,-0.43,6807,69.42852945497282,-9.97,Sport&Human Dynamic-Undeclared + Not Calm Air With Precip
Engineering & Computer Science,Not Sig Rainy,402,248,154,61.69154228855721,443,61.39954853273137,-0.29,7464,69.39978563772776,7.71,Engineering & Computer Science + Not Sig Rainy
Information Studies,Not Sig Rainy,170,102,68,60,195,59.48717948717949,-0.51,7464,69.39978563772776,9.4,Information Studies + Not Sig Rainy
Sport and Human Dynamics,Sig Rainy,189,121,68,64.02116402116403,1988,72.08249496981891,8.06,697,61.54949784791965,-2.47,Sport and Human Dynamics + Sig Rainy
Visual & Performing Arts,Not Sig Rainy,944,708,236,75,1026,74.75633528265108,-0.24,7464,69.39978563772776,-5.6,Visual & Performing Arts + Not Sig Rainy
Engineering & Computer Science,Not Snowy,387,235,152,60.72351421188631,443,61.39954853273137,0.68,7222,69.052893935198,8.33,Engineering & Computer Science + Not Snowy
Information Studies,Not Snowy,169,103,66,60.946745562130175,195,59.48717948717949,-1.46,7222,69.052893935198,8.11,Information Studies + Not Snowy
Sport and Human Dynamics,Snowy,225,161,64,71.55555555555554,1988,72.08249496981891,0.53,939,66.24068157614484,-5.31,Sport and Human Dynamics + Snowy
Visual & Performing Arts,Not Snowy,889,661,228,74.35320584926885,1026,74.75633528265108,0.4,7222,69.052893935198,-5.3,Visual & Performing Arts + Not Snowy
Visual & Performing Arts,Snowy,130,99,31,76.15384615384615,1026,74.75633528265108,-1.4,939,66.24068157614484,-9.91,Visual & Performing Arts + Snowy
Engineering & Computer Science,Not Windy,434,266,168,61.29032258064516,443,61.39954853273137,0.11,8039,68.86428660281129,7.57,Engineering & Computer Science + Not Windy
Information Studies,Not Windy,189,112,77,59.25925925925925,195,59.48717948717949,0.23,8039,68.86428660281129,9.61,Information Studies + Not Windy
Visual & Performing Arts,Not Windy,996,743,253,74.59839357429718,1026,74.75633528265108,0.16,8039,68.86428660281129,-5.73,Visual & Performing Arts + Not Windy
Arts & Sciences,Below Freezing,233,143,90,61.37339055793991,3095,68.10985460420032,6.74,637,65.3061224489796,3.93,Arts & Sciences + Below Freezing
Engineering & Computer Science,Not Below Freezing,401,245,156,61.09725685785536,443,61.39954853273137,0.3,7524,69.01913875598086,7.92,Engineering & Computer Science + Not Below Freezing
Information Studies,Not Below Freezing,181,108,73,59.66850828729282,195,59.48717948717949,-0.18,7524,69.01913875598086,9.35,Information Studies + Not Below Freezing
Sport and Human Dynamics,Below Freezing,145,108,37,74.48275862068967,1988,72.08249496981891,-2.4,637,65.3061224489796,-9.18,Sport and Human Dynamics + Below Freezing
Visual & Performing Arts,Not Below Freezing,925,691,234,74.70270270270271,1026,74.75633528265108,0.05,7524,69.01913875598086,-5.68,Visual & Performing Arts + Not Below Freezing
Arts & Sciences,Cold,1211,760,451,62.75805119735756,3095,68.10985460420032,5.35,3123,63.20845341018252,0.45,Arts & Sciences + Cold
Engineering & Computer Science,Not Cold,274,178,96,64.96350364963503,443,61.39954853273137,-3.56,5038,72.1516474791584,7.19,Engineering & Computer Science + Not Cold
Engineering & Computer Science,Cold,166,91,75,54.81927710843374,443,61.39954853273137,6.58,3123,63.20845341018252,8.39,Engineering & Computer Science + Cold
Information Studies,Not Cold,111,78,33,70.27027027027027,195,59.48717948717949,-10.78,5038,72.1516474791584,1.88,Information Studies + Not Cold
Management,Cold,315,183,132,58.0952380952381,894,65.54809843400447,7.45,3123,63.20845341018252,5.11,Management + Cold
Public Communications,Not Cold,196,127,69,64.79591836734694,294,65.3061224489796,0.51,5038,72.1516474791584,7.36,Public Communications + Not Cold
Visual & Performing Arts,Not Cold,645,500,145,77.51937984496125,1026,74.75633528265108,-2.76,5038,72.1516474791584,-5.37,Visual & Performing Arts + Not Cold
Visual & Performing Arts,Cold,374,260,114,69.5187165775401,1026,74.75633528265108,5.24,3123,63.20845341018252,-6.31,Visual & Performing Arts + Cold
Engineering & Computer Science,Not Hoodie Weather,302,181,121,59.93377483443708,443,61.39954853273137,1.47,5969,67.51549673312113,7.58,Engineering & Computer Science + Not Hoodie Weather
Engineering & Computer Science,Hoodie Weather,138,88,50,63.76811594202898,443,61.39954853273137,-2.37,2192,72.03467153284672,8.27,Engineering & Computer Science + Hoodie Weather
Information Studies,Not Hoodie Weather,137,76,61,55.47445255474452,195,59.48717948717949,4.01,5969,67.51549673312113,12.04,Information Studies + Not Hoodie Weather
Visual & Performing Arts,Hoodie Weather,280,225,55,80.35714285714286,1026,74.75633528265108,-5.6,2192,72.03467153284672,-8.32,Visual & Performing Arts + Hoodie Weather
Arts & Sciences,Nice,755,560,195,74.17218543046357,3095,68.10985460420032,-6.06,2000,74.25,0.08,Arts & Sciences + Nice
Education,Not Nice,106,68,38,64.15094339622641,153,69.28104575163398,5.13,6161,66.93718552183087,2.79,Education + Not Nice
Engineering & Computer Science,Not Nice,351,208,143,59.25925925925925,443,61.39954853273137,2.14,6161,66.93718552183087,7.68,Engineering & Computer Science + Not Nice
Information Studies,Not Nice,150,79,71,52.666666666666664,195,59.48717948717949,6.82,6161,66.93718552183087,14.27,Information Studies + Not Nice
Management,Nice,238,175,63,73.52941176470588,894,65.54809843400447,-7.98,2000,74.25,0.72,Management + Nice
Visual & Performing Arts,Not Nice,783,578,205,73.81864623243933,1026,74.75633528265108,0.94,6161,66.93718552183087,-6.88,Visual & Performing Arts + Not Nice
Engineering & Computer Science,Not Hot,432,264,168,61.111111111111114,443,61.39954853273137,0.29,7952,68.58651911468813,7.48,Engineering & Computer Science + Not Hot
Information Studies,Not Hot,189,111,78,58.730158730158735,195,59.48717948717949,0.76,7952,68.58651911468813,9.86,Information Studies + Not Hot
Visual & Performing Arts,Not Hot,984,736,248,74.79674796747967,1026,74.75633528265108,-0.04,7952,68.58651911468813,-6.21,Visual & Performing Arts + Not Hot
Engineering & Computer Science,Not Precip Over Zero,432,265,167,61.342592592592595,443,61.39954853273137,0.06,7995,69.11819887429644,7.78,Engineering & Computer Science + Not Precip Over Zero
Information Studies,Not Precip Over Zero,182,108,74,59.34065934065934,195,59.48717948717949,0.15,7995,69.11819887429644,9.78,Information Studies + Not Precip Over Zero
Visual & Performing Arts,Not Precip Over Zero,1002,753,249,75.1497005988024,1026,74.75633528265108,-0.39,7995,69.11819887429644,-6.03,Visual & Performing Arts + Not Precip Over Zero
Arts & Sciences,Below Freezing Or Cold,1444,903,541,62.53462603878116,3095,68.10985460420032,5.58,3760,63.56382978723404,1.03,Arts & Sciences + Below Freezing Or Cold
Engineering & Computer Science,Not Below Freezing Or Cold,235,154,81,65.53191489361701,443,61.39954853273137,-4.13,4401,73.14246762099523,7.61,Engineering & Computer Science + Not Below Freezing Or Cold
Engineering & Computer Science,Below Freezing Or Cold,205,115,90,56.09756097560976,443,61.39954853273137,5.3,3760,63.56382978723404,7.47,Engineering & Computer Science + Below Freezing Or Cold
Information Studies,Not Below Freezing Or Cold,100,73,27,73,195,59.48717948717949,-13.51,4401,73.14246762099523,0.14,Information Studies + Not Below Freezing Or Cold
Management,Not Below Freezing Or Cold,504,361,143,71.62698412698413,894,65.54809843400447,-6.08,4401,73.14246762099523,1.52,Management + Not Below Freezing Or Cold
Management,Below Freezing Or Cold,384,220,164,57.291666666666664,894,65.54809843400447,8.26,3760,63.56382978723404,6.27,Management + Below Freezing Or Cold
Public Communications,Not Below Freezing Or Cold,174,111,63,63.793103448275865,294,65.3061224489796,1.51,4401,73.14246762099523,9.35,Public Communications + Not Below Freezing Or Cold
Sport and Human Dynamics,Below Freezing Or Cold,908,626,282,68.94273127753304,1988,72.08249496981891,3.14,3760,63.56382978723404,-5.38,Sport and Human Dynamics + Below Freezing Or Cold
Visual & Performing Arts,Not Below Freezing Or Cold,551,431,120,78.22141560798548,1026,74.75633528265108,-3.47,4401,73.14246762099523,-5.08,Visual & Performing Arts + Not Below Freezing Or Cold
Visual & Performing Arts,Below Freezing Or Cold,468,329,139,70.2991452991453,1026,74.75633528265108,4.46,3760,63.56382978723404,-6.74,Visual & Performing Arts + Below Freezing Or Cold
Engineering & Computer Science,Not Hoodie Weather Or Nice,213,120,93,56.33802816901409,443,61.39954853273137,5.06,3969,64.12194507432602,7.78,Engineering & Computer Science + Not Hoodie Weather Or Nice
Engineering & Computer Science,Hoodie Weather Or Nice,227,149,78,65.63876651982379,443,61.39954853273137,-4.24,4192,73.09160305343512,7.45,Engineering & Computer Science + Hoodie Weather Or Nice
Management,Not Hoodie Weather Or Nice,402,234,168,58.2089552238806,894,65.54809843400447,7.34,3969,64.12194507432602,5.91,Management + Not Hoodie Weather Or Nice
Management,Hoodie Weather Or Nice,486,347,139,71.39917695473251,894,65.54809843400447,-5.85,4192,73.09160305343512,1.69,Management + Hoodie Weather Or Nice
Public Communications,Not Hoodie Weather Or Nice,132,92,40,69.6969696969697,294,65.3061224489796,-4.39,3969,64.12194507432602,-5.58,Public Communications + Not Hoodie Weather Or Nice
Public Communications,Hoodie Weather Or Nice,159,99,60,62.264150943396224,294,65.3061224489796,3.04,4192,73.09160305343512,10.83,Public Communications + Hoodie Weather Or Nice
Visual & Performing Arts,Not Hoodie Weather Or Nice,503,353,150,70.17892644135189,1026,74.75633528265108,4.58,3969,64.12194507432602,-6.06,Visual & Performing Arts + Not Hoodie Weather Or Nice
Visual & Performing Arts,Hoodie Weather Or Nice,516,407,109,78.87596899224806,1026,74.75633528265108,-4.12,4192,73.09160305343512,-5.78,Visual & Performing Arts + Hoodie Weather Or Nice
Engineering & Computer Science,Not Sig Rainy Or Snowy,349,214,135,61.31805157593123,443,61.39954853273137,0.08,6525,69.8544061302682,8.54,Engineering & Computer Science + Not Sig Rainy Or Snowy
Information Studies,Not Sig Rainy Or Snowy,147,92,55,62.585034013605444,195,59.48717948717949,-3.1,6525,69.8544061302682,7.27,Information Studies + Not Sig Rainy Or Snowy
Management,Sig Rainy Or Snowy,176,100,76,56.81818181818182,894,65.54809843400447,8.73,1636,64.24205378973105,7.42,Management + Sig Rainy Or Snowy
Visual & Performing Arts,Sig Rainy Or Snowy,205,151,54,73.65853658536585,1026,74.75633528265108,1.1,1636,64.24205378973105,-9.42,Visual & Performing Arts + Sig Rainy Or Snowy
Arts & Sciences,Miserable,499,314,185,62.925851703406806,3095,68.10985460420032,5.18,1401,63.597430406852254,0.67,Arts & Sciences + Miserable
Engineering & Computer Science,Not Miserable,360,222,138,61.66666666666667,443,61.39954853273137,-0.27,6760,69.79289940828403,8.13,Engineering & Computer Science + Not Miserable
Information Studies,Not Miserable,154,96,58,62.33766233766234,195,59.48717948717949,-2.85,6760,69.79289940828403,7.46,Information Studies + Not Miserable
Management,Miserable,157,92,65,58.59872611464968,894,65.54809843400447,6.95,1401,63.597430406852254,5,Management + Miserable
Visual & Performing Arts,Not Miserable,842,633,209,75.17814726840855,1026,74.75633528265108,-0.42,6760,69.79289940828403,-5.39,Visual & Performing Arts + Not Miserable
Visual & Performing Arts,Miserable,177,127,50,71.75141242937853,1026,74.75633528265108,3,1401,63.597430406852254,-8.15,Visual & Performing Arts + Miserable
Engineering & Computer Science,Not Peaceful,224,128,96,57.14285714285714,443,61.39954853273137,4.26,4204,64.34348239771646,7.2,Engineering & Computer Science + Not Peaceful
Engineering & Computer Science,Peaceful,216,141,75,65.27777777777779,443,61.39954853273137,-3.88,3957,73.38893100833965,8.11,Engineering & Computer Science + Peaceful
Information Studies,Not Peaceful,102,46,56,45.09803921568628,195,59.48717948717949,14.39,4204,64.34348239771646,19.25,Information Studies + Not Peaceful
Management,Not Peaceful,421,242,179,57.482185273159146,894,65.54809843400447,8.07,4204,64.34348239771646,6.86,Management + Not Peaceful
Management,Peaceful,467,339,128,72.59100642398288,894,65.54809843400447,-7.04,3957,73.38893100833965,0.8,Management + Peaceful
Public Communications,Peaceful,154,98,56,63.63636363636363,294,65.3061224489796,1.67,3957,73.38893100833965,9.75,Public Communications + Peaceful
Sport and Human Dynamics,Not Peaceful,1019,707,312,69.38174681059863,1988,72.08249496981891,2.7,4204,64.34348239771646,-5.04,Sport and Human Dynamics + Not Peaceful
Visual & Performing Arts,Not Peaceful,531,377,154,70.99811676082862,1026,74.75633528265108,3.76,4204,64.34348239771646,-6.65,Visual & Performing Arts + Not Peaceful
Visual & Performing Arts,Peaceful,488,383,105,78.48360655737704,1026,74.75633528265108,-3.73,3957,73.38893100833965,-5.09,Visual & Performing Arts + Peaceful
Arts & Sciences,Wind Without Precip,265,159,106,60,3095,68.10985460420032,8.11,654,65.90214067278288,5.9,Arts & Sciences + Wind Without Precip
Engineering & Computer Science,Not Wind Without Precip,418,256,162,61.24401913875598,443,61.39954853273137,0.16,7507,68.97562275209805,7.73,Engineering & Computer Science + Not Wind Without Precip
Information Studies,Not Wind Without Precip,180,105,75,58.333333333333336,195,59.48717948717949,1.15,7507,68.97562275209805,10.64,Information Studies + Not Wind Without Precip
Sport and Human Dynamics,Wind Without Precip,146,109,37,74.65753424657534,1988,72.08249496981891,-2.58,654,65.90214067278288,-8.76,Sport and Human Dynamics + Wind Without Precip
Visual & Performing Arts,Not Wind Without Precip,933,695,238,74.49088960342979,1026,74.75633528265108,0.27,7507,68.97562275209805,-5.52,Visual & Performing Arts + Not Wind Without Precip
Arts & Sciences,Not Calm Air Without Precip,858,538,320,62.7039627039627,3095,68.10985460420032,5.41,2290,64.71615720524018,2.01,Arts & Sciences + Not Calm Air Without Precip
Engineering & Computer Science,Calm Air Without Precip,327,201,126,61.46788990825688,443,61.39954853273137,-0.07,5871,70.29466871061149,8.83,Engineering & Computer Science + Calm Air Without Precip
Information Studies,Calm Air Without Precip,135,84,51,62.22222222222222,195,59.48717948717949,-2.74,5871,70.29466871061149,8.07,Information Studies + Calm Air Without Precip
Sport and Human Dynamics,Not Calm Air Without Precip,560,391,169,69.82142857142857,1988,72.08249496981891,2.26,2290,64.71615720524018,-5.11,Sport and Human Dynamics + Not Calm Air Without Precip
Visual & Performing Arts,Not Calm Air Without Precip,291,216,75,74.22680412371135,1026,74.75633528265108,0.53,2290,64.71615720524018,-9.51,Visual & Performing Arts + Not Calm Air Without Precip
Arts & Sciences,Wind With Precip,104,56,48,53.84615384615385,3095,68.10985460420032,14.26,282,59.57446808510638,5.73,Arts & Sciences + Wind With Precip
Engineering & Computer Science,Not Wind With Precip,427,263,164,61.59250585480094,443,61.39954853273137,-0.19,7879,69.05698692727503,7.46,Engineering & Computer Science + Not Wind With Precip
Information Studies,Not Wind With Precip,180,108,72,60,195,59.48717948717949,-0.51,7879,69.05698692727503,9.06,Information Studies + Not Wind With Precip
Visual & Performing Arts,Not Wind With Precip,977,728,249,74.51381780962129,1026,74.75633528265108,0.24,7879,69.05698692727503,-5.46,Visual & Performing Arts + Not Wind With Precip
Engineering & Computer Science,Not Calm Air With Precip,362,220,142,60.773480662983424,443,61.39954853273137,0.63,6807,69.42852945497282,8.66,Engineering & Computer Science + Not Calm Air With Precip
Information Studies,Not Calm Air With Precip,159,97,62,61.0062893081761,195,59.48717948717949,-1.52,6807,69.42852945497282,8.42,Information Studies + Not Calm Air With Precip
Management,Calm Air With Precip,147,88,59,59.863945578231295,894,65.54809843400447,5.68,1354,65.21418020679468,5.35,Management + Calm Air With Precip
Visual & Performing Arts,Not Calm Air With Precip,856,641,215,74.88317757009347,1026,74.75633528265108,-0.13,6807,69.42852945497282,-5.45,Visual & Performing Arts + Not Calm Air With Precip
Visual & Performing Arts,Calm Air With Precip,163,119,44,73.00613496932516,1026,74.75633528265108,1.75,1354,65.21418020679468,-7.79,Visual & Performing Arts + Calm Air With Precip
Female,Not Sig Rainy,2182,1338,844,61.3198900091659,2436,60.42692939244664,-0.89,7464,69.39978563772776,8.08,Female + Not Sig Rainy
Female,Sig Rainy,241,125,116,51.867219917012456,2436,60.42692939244664,8.56,697,61.54949784791965,9.68,Female + Sig Rainy
Male,Sig Rainy,374,250,124,66.84491978609626,4859,73.5336488989504,6.69,697,61.54949784791965,-5.3,Male + Sig Rainy
Female,Not Snowy,2152,1322,830,61.43122676579925,2436,60.42692939244664,-1,7222,69.052893935198,7.62,Female + Not Snowy
Female,Snowy,271,141,130,52.02952029520295,2436,60.42692939244664,8.4,939,66.24068157614484,14.21,Female + Snowy
Male,Snowy,575,425,150,73.91304347826086,4859,73.5336488989504,-0.38,939,66.24068157614484,-7.67,Male + Snowy
Female,Not Windy,2387,1445,942,60.536237955592796,2436,60.42692939244664,-0.11,8039,68.86428660281129,8.33,Female + Not Windy
Female,Not Below Freezing,2262,1368,894,60.47745358090185,2436,60.42692939244664,-0.05,7524,69.01913875598086,8.54,Female + Not Below Freezing
Female,Below Freezing,161,95,66,59.006211180124225,2436,60.42692939244664,1.42,637,65.3061224489796,6.3,Female + Below Freezing
Male,Below Freezing,416,283,133,68.02884615384616,4859,73.5336488989504,5.5,637,65.3061224489796,-2.72,Male + Below Freezing
Female,Not Cold,1470,979,491,66.59863945578232,2436,60.42692939244664,-6.17,5038,72.1516474791584,5.55,Female + Not Cold
Female,Cold,953,484,469,50.78698845750262,2436,60.42692939244664,9.64,3123,63.20845341018252,12.42,Female + Cold
Male,Cold,1842,1303,539,70.73832790445168,4859,73.5336488989504,2.8,3123,63.20845341018252,-7.53,Male + Cold
Female,Not Hoodie Weather,1775,1042,733,58.70422535211267,2436,60.42692939244664,1.72,5969,67.51549673312113,8.81,Female + Not Hoodie Weather
Female,Hoodie Weather,648,421,227,64.96913580246914,2436,60.42692939244664,-4.54,2192,72.03467153284672,7.07,Female + Hoodie Weather
Female,Not Nice,1812,1038,774,57.284768211920536,2436,60.42692939244664,3.14,6161,66.93718552183087,9.65,Female + Not Nice
Female,Nice,611,425,186,69.55810147299509,2436,60.42692939244664,-9.13,2000,74.25,4.69,Female + Nice
Male,Not Nice,3687,2670,1017,72.41659886086249,4859,73.5336488989504,1.12,6161,66.93718552183087,-5.48,Male + Not Nice
